company_id,company_name,industry,region,year,quarter,reporting_period,department,revenue_usd_m,opex_usd_m,production_output_units,energy_consumption_mwh,renewable_energy_share_pct,scope1_emissions_tco2e,scope2_emissions_tco2e,scope3_emissions_tco2e,water_withdrawal_m3,water_recycled_pct,waste_generated_tonnes,waste_recycled_pct,headcount,female_pct,minority_pct,avg_training_hours_per_employee,employee_turnover_pct,lost_time_incident_rate,community_investment_usd_m,pay_equity_ratio_female_to_male,employee_engagement_score,board_size,independent_directors_pct,board_gender_diversity_pct,anti_corruption_training_pct,data_breaches_count,whistleblower_reports,fines_penalties_usd_m,esg_policy_coverage_pct,supplier_code_of_conduct_coverage_pct,emissions_intensity_tco2e_per_musd,esg_score,controversy_level_0_low_3_high
GLX01,GreenLux Industries,Manufacturing,North America,2021,2,2021-Q2,R&D,77.39,62.9,9298,1840.9,0.302,357.32,228.29,1741.05,826.4,0.289,329.77,0.578,5,0.344,0.414,9.21,0.219,0.43,0.0,0.94,59.5,10,0.691,0.281,0.798,0,0,0.172,0.809,0.507,30.06,48.9,1
GLX01,GreenLux Industries,Manufacturing,North America,2021,2,2021-Q2,Sales,181.38,144.59,858,1043.1,0.243,210.13,145.33,1087.91,5184.4,0.32,189.62,0.368,63,0.482,0.384,15.97,0.224,0.05,0.0,0.93,74.7,10,0.623,0.32,0.778,0,1,0.088,0.872,0.473,7.96,47.5,0
GLX01,GreenLux Industries,Manufacturing,Europe,2021,2,2021-Q2,HR,31.47,24.14,4591,354.3,0.262,86.13,28.99,252.6,477.5,0.538,67.27,0.381,5,0.449,0.208,24.33,0.239,0.21,0.0,0.981,74.3,10,0.67,0.242,0.714,0,4,0.012,0.75,0.443,11.68,53.3,2
GLX01,GreenLux Industries,Manufacturing,Europe,2021,2,2021-Q2,Finance,39.15,29.84,4346,1035.6,0.304,190.12,132.21,1266.99,1660.8,0.468,45.33,0.697,102,0.39,0.368,16.58,0.248,0.11,0.512,0.972,64.4,10,0.573,0.229,0.734,0,1,0.188,0.779,0.583,40.6,52.0,2
GLX01,GreenLux Industries,Manufacturing,North America,2021,2,2021-Q2,IT,41.69,29.63,6393,238.6,0.293,25.99,37.07,138.07,351.5,0.399,102.13,0.415,123,0.354,0.299,15.1,0.139,0.19,0.0,0.934,72.3,10,0.529,0.287,0.753,1,0,0.063,0.682,0.611,4.82,46.3,0
GLX01,GreenLux Industries,Manufacturing,Europe,2021,2,2021-Q2,Facilities,133.64,83.29,11643,454.8,0.249,112.75,77.95,398.88,1256.1,0.435,64.95,0.453,93,0.302,0.306,20.1,0.057,0.74,0.0,0.934,74.7,10,0.578,0.27,0.704,1,1,0.027,0.63,0.55,4.41,48.5,0
GLX01,GreenLux Industries,Manufacturing,Latin America,2021,3,2021-Q3,Operations,245.69,172.25,17491,1973.4,0.277,406.41,243.89,2228.56,1050.4,0.406,137.09,0.392,45,0.311,0.333,10.68,0.234,0.89,0.357,0.913,68.5,10,0.65,0.305,0.691,1,1,0.0,0.746,0.474,11.72,50.5,0
GLX01,GreenLux Industries,Manufacturing,Europe,2021,3,2021-Q3,Supply Chain,70.01,44.45,15212,731.7,0.421,89.45,75.59,659.76,564.2,0.335,78.01,0.378,74,0.469,0.354,11.11,0.302,0.05,0.0,0.945,67.5,10,0.64,0.337,0.743,0,0,0.097,0.675,0.588,11.78,50.8,1
GLX01,GreenLux Industries,Manufacturing,Latin America,2021,3,2021-Q3,R&D,83.48,56.4,17003,1747.3,0.297,300.92,210.91,1615.68,1827.5,0.266,28.61,0.452,18,0.446,0.392,14.38,0.136,0.36,0.299,0.957,66.8,10,0.604,0.305,0.825,0,2,0.0,0.635,0.701,25.49,46.6,2
GLX01,GreenLux Industries,Manufacturing,Asia,2021,3,2021-Q3,Sales,186.61,124.98,5002,1292.5,0.244,269.33,183.35,1720.2,1230.2,0.489,385.39,0.254,80,0.295,0.264,14.68,0.262,0.12,0.0,0.945,82.9,10,0.612,0.291,0.857,1,0,0.169,0.851,0.685,11.64,51.3,0
GLX01,GreenLux Industries,Manufacturing,North America,2021,3,2021-Q3,HR,32.88,28.74,3937,1364.2,0.342,233.57,160.26,1117.7,211.9,0.185,61.54,0.459,5,0.306,0.306,23.68,0.167,0.05,0.0,0.932,58.8,10,0.618,0.283,0.792,0,1,0.0,0.741,0.47,45.97,45.6,3
GLX01,GreenLux Industries,Manufacturing,Europe,2021,3,2021-Q3,Finance,39.01,28.31,4549,473.4,0.386,76.33,46.6,257.09,350.2,0.607,19.92,0.617,5,0.244,0.213,9.29,0.19,0.36,0.0,0.936,75.2,10,0.653,0.25,0.728,0,1,0.07,0.758,0.437,9.74,53.8,0
GLX01,GreenLux Industries,Manufacturing,Latin America,2021,3,2021-Q3,IT,56.83,34.81,4519,563.0,0.312,116.84,60.35,733.45,548.1,0.466,28.4,0.524,50,0.355,0.353,12.0,0.226,0.26,0.0,0.971,67.8,10,0.564,0.243,0.786,0,0,0.0,0.836,0.571,16.02,50.0,1
GLX01,GreenLux Industries,Manufacturing,Asia,2021,3,2021-Q3,Facilities,118.26,70.84,13110,2495.8,0.289,481.28,315.71,2129.32,1409.6,0.566,207.64,0.375,24,0.277,0.307,7.48,0.208,1.3,0.731,0.926,75.2,10,0.685,0.337,0.69,1,0,0.157,0.65,0.553,24.74,55.5,0
GLX01,GreenLux Industries,Manufacturing,Asia,2021,4,2021-Q4,Operations,189.56,144.27,14754,1764.8,0.167,382.85,250.95,2406.92,3430.3,0.175,927.96,0.413,79,0.394,0.343,7.92,0.22,0.77,0.0,0.97,69.9,10,0.63,0.295,0.73,0,1,0.186,0.655,0.613,16.04,46.9,0
GLX01,GreenLux Industries,Manufacturing,Europe,2021,4,2021-Q4,Supply Chain,110.0,83.22,9287,1016.2,0.364,183.8,118.1,1515.2,523.7,0.432,160.0,0.604,89,0.344,0.344,7.89,0.177,0.46,0.32,0.953,70.7,10,0.665,0.288,0.722,1,1,0.213,0.617,0.748,16.52,52.8,1
GLX01,GreenLux Industries,Manufacturing,Europe,2021,4,2021-Q4,R&D,77.76,57.45,4463,1605.5,0.251,328.62,225.3,1430.45,1491.9,0.355,203.57,0.368,5,0.181,0.364,15.26,0.096,0.05,0.0,0.964,70.2,10,0.588,0.26,0.687,0,0,0.0,0.603,0.443,25.52,43.2,2
GLX01,GreenLux Industries,Manufacturing,Asia,2021,4,2021-Q4,Sales,194.02,160.11,2967,1894.5,0.276,380.44,235.65,2758.79,2690.9,0.467,591.71,0.262,69,0.339,0.258,16.22,0.189,0.2,0.339,0.929,68.0,10,0.652,0.321,0.771,0,0,0.024,0.889,0.644,17.39,47.2,0
GLX01,GreenLux Industries,Manufacturing,North America,2021,4,2021-Q4,HR,29.06,25.02,5307,442.3,0.327,90.28,73.7,363.62,136.2,0.224,64.22,0.336,5,0.409,0.379,12.76,0.03,0.13,0.803,0.95,79.9,10,0.575,0.241,0.778,1,2,0.203,0.741,0.657,18.16,43.5,1
GLX01,GreenLux Industries,Manufacturing,North America,2021,4,2021-Q4,Finance,47.02,38.25,1814,315.9,0.245,71.83,47.12,388.83,618.2,0.369,44.66,0.287,52,0.462,0.481,12.77,0.191,0.35,1.046,0.937,73.7,10,0.644,0.296,0.723,0,1,0.109,0.555,0.647,10.8,46.7,1
GLX01,GreenLux Industries,Manufacturing,Latin America,2021,4,2021-Q4,IT,51.31,41.84,1771,1467.5,0.325,259.23,197.18,1225.03,325.4,0.332,95.31,0.568,77,0.485,0.314,12.41,0.174,0.43,0.0,0.99,77.4,10,0.612,0.269,0.71,0,1,0.068,0.789,0.584,32.77,51.6,1
GLX01,GreenLux Industries,Manufacturing,North America,2021,4,2021-Q4,Facilities,128.22,108.43,18423,2794.2,0.316,526.88,343.26,1995.47,3460.9,0.387,76.33,0.287,29,0.321,0.329,7.63,0.208,0.77,0.897,0.932,71.8,10,0.613,0.269,0.898,0,2,0.006,0.698,0.493,22.35,48.8,0
GLX01,GreenLux Industries,Manufacturing,Asia,2022,1,2022-Q1,Operations,199.89,153.19,7486,3115.0,0.483,422.07,290.52,2049.83,1332.8,0.362,760.86,0.577,46,0.426,0.398,18.2,0.213,0.77,0.919,0.962,82.4,10,0.655,0.341,0.748,0,2,0.391,0.705,0.804,13.82,60.5,0
GLX01,GreenLux Industries,Manufacturing,Asia,2022,1,2022-Q1,Supply Chain,98.85,56.46,9645,902.9,0.314,173.51,116.66,1269.8,827.0,0.687,96.98,0.388,73,0.29,0.339,12.49,0.181,0.52,0.174,0.978,79.2,10,0.555,0.283,0.686,0,2,0.38,0.629,0.643,15.78,53.9,0
GLX01,GreenLux Industries,Manufacturing,Asia,2022,1,2022-Q1,R&D,97.72,78.82,4065,1226.9,0.361,203.47,134.43,1496.41,1180.9,0.361,27.23,0.494,22,0.465,0.144,15.44,0.112,0.36,0.425,0.947,78.8,10,0.58,0.343,0.738,0,2,0.0,0.78,0.604,18.77,50.0,0
GLX01,GreenLux Industries,Manufacturing,North America,2022,1,2022-Q1,Sales,208.57,159.76,4294,1770.6,0.334,349.41,215.99,1958.22,2768.9,0.36,248.15,0.461,38,0.384,0.282,13.98,0.158,0.26,0.709,0.932,74.1,10,0.636,0.324,0.772,0,0,0.243,0.69,0.67,12.1,49.6,0
GLX01,GreenLux Industries,Manufacturing,Latin America,2022,1,2022-Q1,HR,37.32,23.16,2933,280.6,0.543,31.75,25.25,212.71,381.8,0.59,67.87,0.537,5,0.415,0.344,19.3,0.116,0.43,0.0,0.999,72.4,10,0.642,0.34,0.765,0,1,0.043,0.837,0.749,7.23,58.4,1
GLX01,GreenLux Industries,Manufacturing,North America,2022,1,2022-Q1,Finance,32.63,26.65,10671,420.5,0.37,56.14,34.93,340.48,181.3,0.291,9.58,0.423,5,0.541,0.401,11.75,0.283,0.5,0.0,0.875,82.7,10,0.574,0.261,0.841,0,2,0.446,0.821,0.658,13.23,51.5,0
GLX01,GreenLux Industries,Manufacturing,Latin America,2022,1,2022-Q1,IT,54.41,31.86,5185,434.1,0.311,95.29,47.64,478.52,1180.9,0.233,30.28,0.613,5,0.362,0.369,13.63,0.175,0.05,0.0,0.96,64.4,10,0.648,0.309,0.813,1,0,0.151,0.771,0.751,11.42,49.0,2
GLX01,GreenLux Industries,Manufacturing,North America,2022,1,2022-Q1,Facilities,126.91,79.93,17151,751.8,0.452,106.73,71.41,461.78,2289.4,0.318,242.67,0.465,107,0.326,0.35,11.16,0.277,0.66,0.486,0.969,71.5,10,0.623,0.306,0.783,0,0,0.058,0.715,0.493,5.04,54.9,0
GLX01,GreenLux Industries,Manufacturing,Asia,2022,2,2022-Q2,Operations,209.43,125.19,13345,1603.1,0.471,254.08,147.07,1496.74,2915.0,0.337,69.4,0.568,19,0.323,0.259,13.71,0.172,0.91,0.127,0.971,80.2,10,0.634,0.324,0.907,0,0,0.184,0.916,0.604,9.06,58.6,0
GLX01,GreenLux Industries,Manufacturing,Asia,2022,2,2022-Q2,Supply Chain,120.87,90.27,8140,1575.4,0.267,313.09,223.75,1848.18,970.7,0.499,158.94,0.369,20,0.477,0.31,23.78,0.19,0.34,0.055,0.954,76.1,10,0.658,0.339,0.733,0,2,0.0,0.672,0.485,19.73,52.8,1
GLX01,GreenLux Industries,Manufacturing,Europe,2022,2,2022-Q2,R&D,90.04,65.18,6742,790.6,0.467,107.17,87.5,816.62,1141.6,0.422,54.17,0.619,21,0.32,0.338,10.91,0.171,0.3,0.852,0.964,73.8,10,0.663,0.352,0.813,0,0,0.0,0.736,0.569,11.23,55.1,0
GLX01,GreenLux Industries,Manufacturing,North America,2022,2,2022-Q2,Sales,171.06,102.18,8356,2166.1,0.216,448.93,276.87,1643.35,2550.8,0.269,289.51,0.684,126,0.363,0.434,15.09,0.193,0.18,0.259,0.938,75.0,10,0.636,0.31,0.806,0,1,0.259,0.676,0.609,13.85,50.3,2
GLX01,GreenLux Industries,Manufacturing,North America,2022,2,2022-Q2,HR,25.44,17.27,3171,502.5,0.421,69.94,26.48,197.48,652.8,0.31,37.33,0.366,5,0.408,0.193,25.74,0.11,0.29,0.781,0.924,63.2,10,0.612,0.284,0.643,0,3,0.0,0.906,0.698,11.55,46.6,0
GLX01,GreenLux Industries,Manufacturing,Europe,2022,2,2022-Q2,Finance,37.07,32.09,7696,879.5,0.452,142.09,80.33,733.11,537.9,0.436,26.9,0.742,21,0.381,0.313,9.11,0.121,0.54,0.0,0.919,77.2,10,0.677,0.332,0.84,0,0,0.0,0.734,0.605,25.78,55.1,1
GLX01,GreenLux Industries,Manufacturing,Asia,2022,2,2022-Q2,IT,61.39,45.16,2878,1389.1,0.484,204.74,134.97,1236.94,546.8,0.306,29.13,0.264,123,0.292,0.285,16.39,0.185,0.46,0.656,0.933,76.0,10,0.641,0.303,0.876,1,2,0.129,0.762,0.621,25.68,52.3,1
GLX01,GreenLux Industries,Manufacturing,North America,2022,2,2022-Q2,Facilities,118.45,99.05,13564,681.8,0.4,121.39,96.69,713.32,2780.7,0.447,37.82,0.59,64,0.483,0.377,13.95,0.109,0.86,0.0,0.933,77.5,10,0.697,0.322,0.708,0,1,0.147,0.644,0.519,7.86,55.2,0
GLX01,GreenLux Industries,Manufacturing,Europe,2022,3,2022-Q3,Operations,221.67,199.22,11087,1592.3,0.262,325.92,214.77,1883.01,1038.0,0.214,74.3,0.652,47,0.585,0.261,15.24,0.287,1.3,1.737,0.986,75.1,10,0.654,0.333,0.747,0,0,0.054,0.724,0.7,10.93,58.6,1
GLX01,GreenLux Industries,Manufacturing,North America,2022,3,2022-Q3,Supply Chain,109.76,80.24,7548,1043.9,0.303,168.55,130.21,1253.19,1084.6,0.409,155.37,0.723,5,0.352,0.348,19.09,0.155,0.54,0.0,0.912,79.1,10,0.574,0.275,0.748,0,0,0.196,0.843,0.681,14.14,53.2,1
GLX01,GreenLux Industries,Manufacturing,Latin America,2022,3,2022-Q3,R&D,86.16,61.21,3001,945.3,0.532,144.42,75.1,859.16,1203.0,0.28,114.03,0.431,47,0.39,0.262,10.93,0.188,0.26,0.0,0.922,72.2,10,0.693,0.294,0.779,0,1,0.0,0.831,0.704,12.52,50.7,0
GLX01,GreenLux Industries,Manufacturing,Asia,2022,3,2022-Q3,Sales,168.57,131.88,9212,2212.9,0.331,390.51,275.23,2964.72,1232.4,0.469,79.06,0.535,5,0.417,0.298,8.04,0.268,0.15,0.0,0.956,75.9,10,0.589,0.312,0.806,0,1,0.184,0.753,0.547,21.54,52.7,0
GLX01,GreenLux Industries,Manufacturing,Latin America,2022,3,2022-Q3,HR,34.1,24.27,5557,522.5,0.555,63.15,34.61,392.59,263.8,0.384,22.28,0.572,5,0.369,0.411,14.43,0.098,0.32,0.0,0.965,75.9,10,0.629,0.308,0.736,1,0,0.125,0.7,0.587,14.38,54.4,1
GLX01,GreenLux Industries,Manufacturing,Asia,2022,3,2022-Q3,Finance,46.89,41.62,970,529.8,0.369,110.79,72.06,546.69,670.9,0.397,78.54,0.558,5,0.359,0.372,13.16,0.15,0.11,0.354,1.012,67.6,10,0.631,0.352,0.775,1,1,0.148,0.745,0.729,15.56,52.6,0
GLX01,GreenLux Industries,Manufacturing,Europe,2022,3,2022-Q3,IT,56.27,41.34,4532,448.5,0.478,67.31,45.21,377.15,372.1,0.504,152.18,0.486,5,0.331,0.391,17.41,0.12,0.2,0.644,0.966,75.6,10,0.615,0.298,0.725,0,1,0.0,0.86,0.62,8.7,52.9,3
GLX01,GreenLux Industries,Manufacturing,Asia,2022,3,2022-Q3,Facilities,142.05,109.66,16094,968.4,0.436,130.76,94.37,921.34,1997.7,0.477,50.55,0.515,141,0.3,0.253,16.56,0.179,0.97,0.594,0.969,83.7,10,0.646,0.303,0.82,0,1,0.365,0.771,0.74,8.07,60.3,0
GLX01,GreenLux Industries,Manufacturing,Asia,2022,4,2022-Q4,Operations,183.94,148.8,12768,2144.4,0.374,356.07,249.24,2588.87,3786.9,0.452,112.31,0.63,48,0.445,0.326,21.85,0.199,0.83,0.488,0.941,81.8,10,0.565,0.278,0.716,0,0,0.223,0.897,0.62,17.37,57.7,1
GLX01,GreenLux Industries,Manufacturing,Europe,2022,4,2022-Q4,Supply Chain,93.57,52.6,13835,2056.0,0.356,361.18,248.15,3069.16,1576.1,0.455,680.87,0.283,5,0.498,0.275,18.04,0.182,0.72,0.0,0.987,87.5,10,0.589,0.333,0.722,0,0,0.085,0.794,0.714,39.31,55.2,1
GLX01,GreenLux Industries,Manufacturing,Asia,2022,4,2022-Q4,R&D,80.52,62.16,4002,661.2,0.234,127.5,90.75,512.9,852.0,0.183,118.65,0.351,5,0.326,0.286,14.53,0.224,0.18,0.488,1.032,76.3,10,0.623,0.287,0.768,0,0,0.096,0.587,0.628,9.08,48.4,1
GLX01,GreenLux Industries,Manufacturing,North America,2022,4,2022-Q4,Sales,204.41,183.46,1430,989.1,0.216,185.68,142.3,1154.4,2902.8,0.482,130.14,0.517,35,0.323,0.354,11.17,0.1,0.12,0.256,0.996,71.1,10,0.65,0.305,0.854,0,1,0.254,0.817,0.653,7.25,49.1,1
GLX01,GreenLux Industries,Manufacturing,Europe,2022,4,2022-Q4,HR,33.83,20.03,8466,394.7,0.37,41.64,38.27,256.91,279.8,0.399,38.68,0.377,75,0.341,0.368,19.21,0.138,0.66,0.0,0.978,83.0,10,0.603,0.352,0.765,1,1,0.199,0.62,0.76,9.96,55.2,1
GLX01,GreenLux Industries,Manufacturing,Europe,2022,4,2022-Q4,Finance,30.03,23.75,2940,261.1,0.353,39.17,30.91,251.75,441.3,0.334,37.34,0.298,5,0.487,0.413,9.56,0.14,0.29,0.268,0.926,76.5,10,0.611,0.31,0.813,0,0,0.081,0.753,0.593,10.72,46.2,0
GLX01,GreenLux Industries,Manufacturing,Europe,2022,4,2022-Q4,IT,40.85,35.34,1638,640.2,0.448,98.95,72.61,697.72,638.2,0.435,20.16,0.365,5,0.391,0.421,26.43,0.202,0.4,0.0,0.934,72.3,10,0.605,0.305,0.752,0,1,0.224,0.614,0.613,21.28,54.2,1
GLX01,GreenLux Industries,Manufacturing,Latin America,2022,4,2022-Q4,Facilities,100.05,72.15,15458,2254.0,0.547,292.69,179.37,990.68,678.4,0.654,45.29,0.53,68,0.467,0.337,15.73,0.15,0.95,0.094,0.969,71.8,10,0.645,0.309,0.848,0,0,0.072,0.688,0.565,14.62,60.7,1
GLX01,GreenLux Industries,Manufacturing,Latin America,2023,1,2023-Q1,Operations,207.21,149.67,3984,4062.5,0.468,582.87,391.98,3966.48,3117.7,0.579,488.89,0.525,68,0.46,0.493,15.77,0.298,0.85,1.071,0.993,68.5,10,0.61,0.364,0.778,0,0,0.0,0.889,0.762,23.85,61.5,0
GLX01,GreenLux Industries,Manufacturing,Asia,2023,1,2023-Q1,Supply Chain,106.31,86.5,18930,2077.2,0.447,317.03,199.18,1994.06,1325.0,0.414,61.6,0.469,28,0.317,0.278,7.43,0.171,0.3,0.0,0.98,81.6,10,0.576,0.307,0.764,0,1,0.0,0.798,0.843,23.61,52.1,0
GLX01,GreenLux Industries,Manufacturing,Europe,2023,1,2023-Q1,R&D,87.63,78.22,2454,1892.3,0.385,268.77,211.22,1663.0,658.8,0.449,39.89,0.644,72,0.425,0.317,20.48,0.102,0.31,0.0,0.987,68.0,10,0.639,0.34,0.753,0,1,0.08,0.819,0.677,24.45,53.9,1
GLX01,GreenLux Industries,Manufacturing,Asia,2023,1,2023-Q1,Sales,180.1,99.3,1728,3701.5,0.378,609.8,421.6,2870.78,1596.0,0.456,217.84,0.652,59,0.411,0.293,16.06,0.171,0.05,0.359,1.003,84.6,10,0.679,0.367,0.815,0,0,0.11,0.869,0.83,21.67,58.2,0
GLX01,GreenLux Industries,Manufacturing,North America,2023,1,2023-Q1,HR,33.96,24.63,3427,186.5,0.403,8.98,5.87,31.64,296.3,0.575,43.48,0.586,43,0.319,0.403,17.7,0.194,0.09,0.0,0.985,81.3,10,0.604,0.304,0.878,0,0,0.0,0.871,0.677,1.37,57.2,0
GLX01,GreenLux Industries,Manufacturing,Europe,2023,1,2023-Q1,Finance,43.62,24.88,807,508.6,0.368,69.78,55.68,377.74,99.8,0.671,74.88,0.548,5,0.412,0.338,10.28,0.216,0.44,0.531,0.973,76.1,10,0.667,0.348,0.789,0,0,0.0,0.828,0.865,11.54,57.5,0
GLX01,GreenLux Industries,Manufacturing,North America,2023,1,2023-Q1,IT,64.3,57.29,2982,937.9,0.474,99.06,79.41,492.09,639.8,0.266,53.52,0.749,22,0.398,0.242,15.53,0.141,0.24,0.909,0.977,69.3,10,0.65,0.345,0.878,0,1,0.176,0.801,0.684,10.43,55.1,2
GLX01,GreenLux Industries,Manufacturing,Asia,2023,1,2023-Q1,Facilities,86.96,69.37,7750,1329.8,0.403,223.11,142.93,1354.0,549.7,0.411,100.99,0.528,113,0.203,0.407,9.3,0.147,0.81,0.653,0.912,78.8,10,0.721,0.289,0.821,1,4,0.0,0.813,0.586,19.78,54.3,1
GLX01,GreenLux Industries,Manufacturing,Latin America,2023,2,2023-Q2,Operations,221.59,173.57,6997,2690.9,0.354,469.43,328.64,1620.3,1148.0,0.49,400.9,0.496,51,0.401,0.299,14.74,0.305,0.85,0.285,0.941,75.5,10,0.633,0.311,0.889,0,3,0.259,0.773,0.751,10.91,58.9,0
GLX01,GreenLux Industries,Manufacturing,Asia,2023,2,2023-Q2,Supply Chain,73.25,57.12,9367,853.0,0.278,166.8,113.01,908.65,1041.5,0.441,156.21,0.787,5,0.509,0.307,11.4,0.093,0.26,0.793,0.956,85.1,10,0.582,0.33,0.735,0,1,0.135,0.821,0.851,16.22,52.4,0
GLX01,GreenLux Industries,Manufacturing,North America,2023,2,2023-Q2,R&D,85.24,56.79,6172,1346.6,0.515,149.51,120.66,827.55,1471.3,0.174,51.82,0.427,5,0.32,0.415,18.28,0.147,0.53,0.0,0.924,84.2,10,0.663,0.316,0.742,1,2,0.341,0.898,0.719,12.88,54.1,1
GLX01,GreenLux Industries,Manufacturing,Europe,2023,2,2023-Q2,Sales,154.66,94.12,7318,2222.4,0.363,394.17,264.56,1486.28,3464.1,0.63,1677.7,0.623,56,0.423,0.362,13.72,0.29,0.35,0.739,0.98,73.5,10,0.674,0.311,0.777,0,3,0.0,0.871,0.719,13.87,59.2,0
GLX01,GreenLux Industries,Manufacturing,Asia,2023,2,2023-Q2,HR,26.76,22.08,4335,331.0,0.394,31.37,32.52,240.35,436.8,0.562,123.59,0.555,5,0.432,0.317,23.55,0.11,0.24,0.0,0.93,81.3,10,0.672,0.311,0.856,0,3,0.025,0.831,0.532,11.37,55.7,0
GLX01,GreenLux Industries,Manufacturing,Europe,2023,2,2023-Q2,Finance,42.45,28.59,8559,310.4,0.435,45.06,24.52,214.45,850.5,0.318,102.69,0.531,5,0.423,0.335,19.47,0.232,0.23,0.0,0.948,80.6,10,0.601,0.301,0.831,0,0,0.073,0.802,0.618,6.69,54.8,1
GLX01,GreenLux Industries,Manufacturing,Latin America,2023,2,2023-Q2,IT,50.6,33.97,8103,443.3,0.397,45.96,46.84,252.3,770.8,0.437,36.52,0.571,5,0.358,0.447,23.36,0.095,0.47,0.627,0.926,83.9,10,0.702,0.296,0.755,0,2,0.163,0.847,0.749,6.82,55.5,1
GLX01,GreenLux Industries,Manufacturing,Latin America,2023,2,2023-Q2,Facilities,96.12,75.75,11912,1406.7,0.328,263.13,176.0,1316.33,1405.1,0.391,174.09,0.446,37,0.405,0.343,8.58,0.138,1.24,0.005,0.96,75.5,10,0.703,0.369,0.858,0,0,0.0,0.849,0.767,18.26,55.0,0
GLX01,GreenLux Industries,Manufacturing,Latin America,2023,3,2023-Q3,Operations,176.49,113.8,9459,5619.7,0.426,895.26,590.66,3273.31,3280.8,0.477,227.98,0.639,99,0.281,0.391,18.55,0.162,0.91,0.91,0.954,85.4,10,0.735,0.306,0.727,1,1,0.0,0.875,0.649,26.97,61.4,0
